,Type,Include,ID,Group,Statement,Good (4),Less good (3),Semantic (2) - category/desription,Bad (1),CMP,ESI,MET,MGD,IMG,IMS,IMP,FAM,SRL,ALT,NOTE,Nominal,prompt,values,QUD_rationale,similarity_rationale,contrast_rationale,non_explanation_rationale,subject_predicate,subject_predicate_rationale
10,Nonliterary,1,191,0,Age is an altar of memories.,Older people have more memories.,People acquire memories as they get older.,Age is the number of years something has been alive.,People start to lose their memory as they age.,5.13,5.13,3.73,4.33,4.33,3.83,4.43,3.8,4.67,1.79,,1,"""Age is an altar of memories.""

a) Older people have more memories.
b) Age is the number of years something has been alive.
c) People start to lose their memory as they age.
d) People acquire memories as they get older.
",[4 2 1 3],"The speaker is addressing the question ""How does age affect memories?""
The speaker answers this question by comparing age to an altar of memories.
An altar of memories has many memories, so the speaker is saying a) Older people have more memories.","An altar of memories has many memories.
Older people also have many memories, so the speaker is saying d) Older people have more memories.",???,???,???,???
11,Nonliterary,1,149,0,Genes are blueprints.,Genes are instructions.,Genes are paper.,Genes are the basic physical unit of heredity.,Genes are distracting.,6.73,6.63,4.93,5.83,5.6,5.23,5.0,5.93,5.77,1.93,,1,"""Genes are blueprints.""

a) Genes are the basic physical unit of heredity.
b) Genes are paper.
c) Genes are distracting.
d) Genes are instructions.
",[2 3 1 4],"The speaker is addressing the question ""What do genes do?""
The speaker answers this question by comparing genes to blueprints.
Blueprints are instructions for building, so the speaker is saying d) Genes are instructions.","Blueprints are instructions for how to build something.
Genes contain instructions for building living things, so the speaker is saying d) Genes are instructions.","Blueprints are instructions that people can read.
In contrast, people cannot directly read the information encoded in genes.
This contrast projects the property of being instructions from blueprints to genes, so the speaker is saying d) Genes are instructions.","Genes are made of DNA.
The speaker is saying d) Genes are instructions.","The speaker is talking about genes.
The speaker is using ""blueprints"" metaphorically.
The speaker is saying d) Genes are instructions.","The speaker is talking about genes.
The speaker is using ""blueprints"" metaphorically.
The speaker is saying d) Genes are instructions."
12,Nonliterary,1,96,16,History is an alarm clock.,History is motivation.,History is why some people get out of bed in the morning.,History is a story of the past.,History is lazy.,3.7,3.57,2.37,2.7,2.13,3.03,2.7,2.1,2.23,1.21,,1,"""History is an alarm clock.""

a) History is lazy.
b) History is why some people get out of bed in the morning.
c) History is a story of the past.
d) History is motivation.
",[1 3 2 4],"The speaker is addressing the question ""How does history affect us?""
The speaker answers this question by comparing history to an alarm clock.
Alarm clocks motivate people to start the day. so the speaker is saying d) History is motivation.","Alarm clocks motivate people to get out of bed.
History can also motivate people, so the speaker is saying a) History is motivation.","An alarm clock makes sounds that motivate people to wake up.
In contrast, history does not produce direct sensory experiences that people respond to.
This contrast projects the property of motivation from an alarm clock to history, so the speaker is saying d) History is motivation.","History extends back thousands of years.
The speaker is saying d) History is motivation.","The speaker is talking about history.
The speaker is using ""an alarm clock"" metaphorically.
The speaker is saying d) History is motivation.","The speaker is talking about history.
The speaker is using ""an alarm clock"" metaphorically.
The speaker is saying d) History is motivation."
13,Nonliterary,1,27,0,A bagpipe is a newborn baby.,A bagpipe is loud.,A bagpipe is delicate.,A bagpipe is a musical instrument.,A bagpipe is quiet.,4.25,3.88,2.19,2.44,2.21,2.72,2.96,1.82,1.7,1.31,,1,"""A bagpipe is a newborn baby.""

a) A bagpipe is loud.
b) A bagpipe is quiet.
c) A bagpipe is a musical instrument.
d) A bagpipe is delicate.
",[4 1 2 3],"The speaker is addressing the question ""How does a bagpipe sound?""
The speaker answers this question by comparing a bagpipe to a newborn baby.
A newborn baby is loud, so the speaker is saying a) A bagpipe is loud.","A newborn baby is loud.
A bagpipe is also loud, so the speaker is saying a) A bagpipe is loud.","A newborn baby screams loudly.
In contrast, a bagpipe does not scream.
This contrast projects the property of loudness from a newborn baby to a bagpipe, so the speaker is saying a) A bagpipe is loud.","Bagpipes originated in Scotland.
The speaker is saying a) A bagpipe is loud.","The speaker is talking about a bagpipe.
The speaker is using ""a newborn baby"" metaphorically.
The speaker is saying a) A bagpipe is loud.","The speaker is talking about a bagpipe.
The speaker is using ""a newborn baby"" metaphorically.
The speaker is saying a) A bagpipe is loud."
14,Literary,1,165,2,Mankind is a prisoner of wishes.,People don't have control over what they want.,People never want to do anything.,Mankind is conscious.,People have control over what they want.,5.8,5.1,4.43,4.47,4.1,3.57,4.0,5.13,3.9,1.9,,1,"""Mankind is a prisoner of wishes.""

a) People have control over what they want.
b) Mankind is conscious.
c) People don't have control over what they want.
d) People never want to do anything.
",[1 2 4 3],"The speaker is addressing the question ""How much control do people have over what they want?""
A prisoner of wishes does not have control over their wishes, so the speaker is saying c) People don't have control over what they want.","A prisoner of wishes has no control over what they want.
Mankind can also struggle with a lack of control over what they want, so the speaker is saying a) People don't have control over what they want.",???,???,???,???
15,Nonliterary,1,61,19,Power is penicillin.,Power can resolve problems.,Power can be injected.,Power is being able to take control.,Power can cause problems.,4.33,4.13,3.03,2.97,2.4,3.23,2.53,2.97,2.55,1.38,,1,"""Power is penicillin.""

a) Power can resolve problems.
b) Power can cause problems.
c) Power is being able to take control.
d) Power can be injected.
",[4 1 2 3],"The speaker is addressing the question ""What can power do?""
The speaker answers this question by comparing power to penicillin.
Penicillin is a strong antibiotic that can solve medical problems, so the speaker is saying a) Power can resolve problems.","Penicilin is a strong antibiotic that can solve medical problems.
Power can also solve many problems, so the speaker is saying c) Power can resolve problems.",???,???,???,???
16,Literary,1,116,2,Man is the wandering outlaw of his own dark mind.,People can't help themselves from wanting to do bad things sometimes.,People do bad things sometimes.,Man is conscious.,People can't help themselves from wanting to do good things sometimes.,5.17,4.87,3.2,4.5,4.0,3.8,3.7,4.67,3.93,1.53,,1,"""Man is the wandering outlaw of his own dark mind.""

a) People can't help themselves from wanting to do good things sometimes.
b) People do bad things sometimes.
c) People can't help themselves from wanting to do bad things sometimes.
d) Man is conscious.
",[1 3 4 2],"The speaker is addressing the question ""What is people's relationship to their desires?""
The speaker answers this question by comparing man to a wandering outlaw.
Wandering outlaws of dark minds often do bad things, so the speaker is saying c) People can't help themselves from wanting to do bad things sometimes.","A wandering outlaw of a dark mind does bad things.
Man often wants to do bad things, so the speaker is saying d) People can't help themselves from wanting to do bad things.",???,???,???,???
17,Nonliterary,1,112,0,A mosquito is an arrow.,A mosquito flies through the air and into people.,A mosquito can move fast.,A mosquito is an insect.,A mosquito only moves sometimes.,5.03,5.2,2.57,3.67,3.93,3.68,4.0,2.86,3.4,1.71,,1,"""A mosquito is an arrow.""

a) A mosquito is an insect.
b) A mosquito can move fast.
c) A mosquito only moves sometimes.
d) A mosquito flies through the air and into people.
",[2 3 1 4],"The speaker is addressing the question ""What does a mosquito do?""
The speaker answers this question by comparing a mosquito to an arrow.
An arrow flies through the air and can puncture people's skin, so the speaker is saying d) A mosquito flies through the air and into people.","An arrow flies through the air and punctures people's skin.
Mosquitos also fly through the air and puncture people's skin, so the speaker is saying c) A mosquito flies through the air and into people.","An arrow is shot through the air and pierces people's skin with a sharp tip.
In contrast, a mosquito is not shot from anything.
This contrast projects the properties of flying and piercing people to a mosquito, so the speaker is saying d) A mosquito flies through the air and into people.","Mosquitos carry many diseases, such as malaria.
The speaker is saying d) A mosquito flies through the air and into people.","The speaker is talking about a mosquito.
The speaker is using ""an arrow"" metaphorically.
The speaker is saying d) A mosquito flies through the air and into people.","The speaker is talking about a mosquito.
The speaker is using ""an arrow"" metaphorically.
The speaker is saying d) A mosquito flies through the air and into people."
18,Nonliterary,1,38,13,Billboards are the yellow pages of the highway.,Billboards provide information about companies.,Billboards are ugly.,Billboards are advertisements.,Billboards lack information.,6.2,6.0,4.03,5.37,4.6,5.0,4.97,3.1,5.07,1.93,,1,"""Billboards are the yellow pages of the highway.""

a) Billboards are ugly.
b) Billboards lack information.
c) Billboards provide information about companies.
d) Billboards are advertisements.
",[3 1 4 2],"The speaker is addressing the question ""What role do billboards play on the highway?""
The speaker answers this question by comparing billboards to the yellow pages.
The yellow pages provide readers with information about companies, so the speaker is saying c) Billboards provide information about companies.","The yellow pages provide information about companies.
Billboards on the highway also provide information about companies, so the speaker is saying a) Billboards provide information about companies.",???,???,???,???
19,Literary,1,42,0,Silence is a black cavern.,Silence is mysterious.,It is quiet underground.,Silence is the absense of sound.,Silence is familiar.,5.93,5.8,3.57,4.77,5.47,4.47,4.77,4.97,4.87,2.1,,1,"""Silence is a black cavern.""

a) Silence is mysterious.
b) It is quiet underground.
c) Silence is familiar.
d) Silence is the absense of sound.
",[4 3 1 2],"The speaker is addressing the quesiton ""What is silence like?""
The speaker answers this question by comparing silence to a black cavern.
A black cavern is mysterious as people cannot see inside, so the speaker is saying a) Silence is mysterious.","A black cavern is mysterious.
Silence can also be mysterious, so the speaker is saying a) Silence is mysterious.",???,???,???,???
20,Literary,1,17,2,Man is a worm that lives on the carcass of the earth.,A person's life is small and irrelevant.,People can wriggle around on the ground.,Man is conscious.,A person's life is important and impactful.,5.77,5.53,3.5,3.8,4.37,4.0,4.03,4.7,3.17,1.9,,1,"""Man is a worm that lives on the carcass of the earth.""

a) A person's life is small and irrelevant.
b) People can wriggle around on the ground.
c) Man is conscious.
d) A person's life is important and impactful.
",[4 3 2 1],"The speaker is addressing the question ""How important is a person's life on the scale of the earth?""
The speaker answers this question by comparing man to a worm that lives on the carcass of the earth.
A worm is small compared to the carcass it feeds from, so the author is saying a) A person's life is small and irrelevant.","A worm that lives on a carcass is small and irrelevant on the scale of the carcass.
People are small and irrelevant on the scale of the earth, so the speaker is saying a) A person's life is small and irrelevant.",???,???,???,???
21,Nonliterary,1,230,0,Craters are the moon's dimples.,Craters give character to the moon's surface.,Craters give texture to the moon's surface.,Craters are indentions in the moon.,Craters are invisible.,6.34,6.2,3.1,4.47,5.8,5.1,5.63,3.8,4.67,1.52,,1,"""Craters are the moon's dimples.""

a) Craters are invisible.
b) Craters give character to the moon's surface.
c) Craters give texture to the moon's surface.
d) Craters are indentions in the moon.
",[1 4 3 2],"The speaker is addressing the question ""What role do craters play on the moon's surface?""
The speaker answers this question by comparing craters to dimples.
Dimples give character to a person's face, so the speaker is saying b) Craters give character to the moon's surface.","Dimples give character to a person's face.
The moon's surface has craters that give it character, so the speaker is saying b) Craters give character to the moon's surface.","Dimples are indentations in people's faces that give them character.
In contrast, craters do not exist on people's faces.
This contrast projects the property of giving character to craters, so the speaker is saying b) Craters give character to the moon's surface.","Craters are caused by collisions with meteors and comets.
The speaker is saying b) Craters give character to the moon's surface.","The speaker is talking about craters
The speaker is using ""the moon's dimples"" metaphorically.
The speaker is saying b) Craters give character to the moon's surface.","The speaker is talking about craters
The speaker is using ""the moon's dimples"" metaphorically.
The speaker is saying b) Craters give character to the moon's surface."
22,Nonliterary,1,194,0,Silence is an apron.,Silence prevents risk.,Silence is made of cloth.,Silence is the complete absence of sound.,Silence causes risk.,3.27,3.67,2.47,2.33,2.03,2.73,3.13,2.33,2.47,1.24,,1,"""Silence is an apron.""

a) Silence is made of cloth.
b) Silence prevents risk.
c) Silence is the complete absence of sound.
d) Silence causes risk.
",[3 4 2 1],"The speaker is addressing the question ""What does silence do?""
The speaker answers this question by comparing silence to an apron.
An apron prevents risk to cooks, so the speaker is saying b) Silence prevents risk.","Aprons prevent risk to cooks.
Silence can also prevent risk by avoiding conflict, so the speaker is saying b) Silence prevents risk.","An apron is protective clothing worn by cooks to prevent risk while cooking.
In contrast, silence cannot be worn.
This contrast projects the property of preventing risk to silence, so the speaker is saying b) Silence prevents risk.","Silence can make it easier to sleep.
The speaker is saying b) Silence prevents risk.","The speaker is talking about silence.
The speaker is using ""an apron"" metaphorically.
The speaker is saying b) Silence prevents risk.","The speaker is talking about silence.
The speaker is using ""an apron"" metaphorically.
The speaker is saying b) Silence prevents risk."
23,Nonliterary,1,23,16,History is a sponge.,History absorbs people and stories.,History is a record.,History is a story.,We see ourselves in history.,4.08,4.58,3.31,3.4,2.48,2.66,3.12,2.76,3.0,1.46,,1,"""History is a sponge.""

a) History absorbs people and stories.
b) History is a record.
c) History is a story.
d) We see ourselves in history.
",[4 3 2 1],"The speaker is addressing the question ""How does history change over time?""
The speaker answers this question by comparing history to a sponge.
A sponge absorbs water, so the speaker is saying a) History absorbs people and stories.","A sponge absorbs liquids.
History can absorb things, like people and stories, so the speaker is saying a) History absorbs people and stories.",???,???,???,???
24,Nonliterary,1,247,0,Terrorists are hawks among the fowl.,Terrorists are people who seek to use violence among people who don't wish to use violence.,Terrorists are people who seek to use violence among people who also wish to use violence.,Terrorists are people who use violenece and intimidation.,Terrorists are people who seek to prevent violence among people who wish to use violence.,5.93,5.93,3.4,4.8,5.07,4.7,5.38,3.41,5.07,1.79,,1,"""Terrorists are hawks among the fowl.""

a) Terrorists are people who seek to use violence among people who don't wish to use violence.
b) Terrorists are people who use violenece and intimidation.
c) Terrorists are people who seek to prevent violence among people who wish to use violence.
d) Terrorists are people who seek to use violence among people who also wish to use violence.
",[4 2 1 3],"The speaker is addressing the question ""What do terrorists seek to do?""
The speaker answers this question by comparing terrorists to hawks among fowl.
Hawks violently attack fowl, while fowl are mostly passive, so the speaker is saying a) Terrorists seek to use violence among people who don't wish to use violence.","Hawks among fowl uses violence to attack the fowl who are not violent.
Terrorists also use violence against people who are not violent, so the speaker is saying a) Terrorists are people who seek to use violence among people who don't wish to use violence.",???,???,???,???
25,Nonliterary,1,216,0,The sea captain is the quarterback of his ship.,The sea captain is in charge of his ship.,The sea captain plays football on his ship.,The sea captain works on a ship.,The sea captain is asleep on his ship.,6.53,6.33,3.93,4.4,5.43,5.43,5.0,4.53,5.03,1.83,,1,"""The sea captain is the quarterback of his ship.""

a) The sea captain works on a ship.
b) The sea captain is in charge of his ship.
c) The sea captain plays football on his ship.
d) The sea captain is asleep on his ship.
",[2 4 3 1],"The speaker is addressing the question ""What is the sea captain's role on his ship?""
The speaker answers this question by comparing the sea captain to a quarterback.
The quarterback is in charge of the football team while playing, so the speaker is saying b) The sea captain is in charge of his ship.","A quarterback is in charge of a football team.
A sea captain is in charge of a ship, so the speaker is saying b) The sea captain is in charge of his ship.","The quarterback is in charge of a football team.
In contrast, the sea captain is not on a football team.
This contrast projects the property of being in charge from the quarterback to the sea captain, so the speaker is saying b) The sea captain is in charge of his ship.","Sea captains are responsible for the safety of their vessels.
The speaker is saying b) The sea captain is in charge of his ship.","The speaker is talking about the sea captain.
The speaker is using ""the quarterback of his ship"" metaphorically.
The speaker is saying b) The sea captain is in charge of his ship.","The speaker is talking about the sea captain.
The speaker is using ""the quarterback of his ship"" metaphorically.
The speaker is saying b) The sea captain is in charge of his ship."
26,Nonliterary,1,251,26,Thunderclouds are draperies pulled across the sun.,Thunderclouds cover the sun.,Thunderclouds are made of cloth.,Thunderclouds are rainclouds.,Thunderclouds amplify the sun.,5.9,6.2,2.93,4.47,4.83,4.79,5.48,3.64,4.67,1.81,,1,"""Thunderclouds are draperies pulled across the sun.""

a) Thunderclouds are made of cloth.
b) Thunderclouds cover the sun.
c) Thunderclouds are rainclouds.
d) Thunderclouds amplify the sun.
",[3 4 2 1],"The speaker is addressing the question ""How do thunderclouds affect the sun?""
The speaker answers this question by comparing thunderclouds to draperies pulled across the sun.
Draperies cover the things they are pulled across, so the speaker is saying b) Thunderclouds cover the sun.","Draperies cover the light from the windows they are front of.
Thunderclouds cover the sun, so the speaker is saying b) Thunderclouds cover the sun.",???,???,???,???
27,Nonliterary,1,184,0,The spy satellite is the shepherd of our nation's security.,The spy satellite helps monitor our nation's security.,The spy satellite helps herd our nation's security.,The spy satelite is a satelite that orbits the earth from space.,The spy satellite helps destroy our nation's security.,4.6,4.63,3.47,3.33,3.53,3.1,2.8,1.73,3.23,1.17,,1,"""The spy satellite is the shepherd of our nation's security.""

a) The spy satellite helps destroy our nation's security.
b) The spy satellite helps herd our nation's security.
c) The spy satelite is a satelite that orbits the earth from space.
d) The spy satellite helps monitor our nation's security.
",[1 3 2 4],"The speaker is addressing the question ""What does the spy satellite do four our nation's security?
The speaker answers this question by comparing the spy satellite to a shepherd.
A shepherd monitors their herd to make sure they are secure, so the speaker is saying d) The spy satellite helps monitor our nation's security.","Shepherds monitor their sheep to keep them secure.
Spy satellites also do monitoring to maintain national security, so the speaker is saying d) The spy satellite helps monitor our nation's security.",???,???,???,???
28,Nonliterary,1,7,0,A desert is a sea.,A desert is vast.,A desert is flat.,A desert is a hot and dry area of land.,A desert is small.,5.32,4.71,2.4,3.68,4.07,4.38,3.73,4.41,3.26,1.81,,1,"""A desert is a sea.""

a) A desert is vast.
b) A desert is flat.
c) A desert is a hot and dry area of land.
d) A desert is small.
",[4 3 2 1],"The speaker is addressing the question ""How big is a desert?""
The speaker answers this question by comparing a desert to a sea.
A sea is vast, so the speaker is saying a) A desert is vast.","A sea is vast.
A desert can also be vast, so the speaker is saying a) A desert is vast.","A sea is a vast body of water.
In contrast, a desert is not a body of water.
This contrast projects the property of vastness to a desert, so the speaker is saying a) A desert is vast.","A desert is full of sand.
The speaker is saying a) A desert is vast.","The speaker is talking about a desert.
The speaker is using ""a sea"" metaphorically.
The speaker is saying a) A desert is vast.","The speaker is talking about a desert.
The speaker is using ""a sea"" metaphorically.
The speaker is saying a) A desert is vast."
29,Nonliterary,1,236,17,Nature is a vast laboratory.,Nature is an unpredictable place.,Nature is a large place.,Nature is all phenomena of the physical world.,Nature is a controlled place.,5.34,5.2,3.67,4.52,4.7,4.77,4.7,3.87,4.7,1.97,,1,"""Nature is a vast laboratory.""

a) Nature is all phenomena of the physical world.
b) Nature is a large place.
c) Nature is an unpredictable place.
d) Nature is a controlled place.
",[2 3 4 1],"The speaker is addressing the question ""How predictable is nature?""
The speaker answers this question by comparing nature to a vast laboratory.
A vast laboratory is not predictable, so the speaker is saying c) Nature is an unpredictable place.","A vast laboratory is unpredictable.
Nature can also be unpredictable, so the speaker is saying c) Nature is an unpredictable place.",???,???,???,???
