,Type,Include,ID,Group,Statement,Good (4),Less good (3),Semantic (2) - category/desription,Bad (1),CMP,ESI,MET,MGD,IMG,IMS,IMP,FAM,SRL,ALT,NOTE,Nominal,prompt,values,model_response
10,Nonliterary,1,57,1,A butterfly is a winged rainbow.,A butterfly is colorful.,A butterfly appears after rain.,A butterfly is an insect.,A butterfly is ugly.,5.43,5.7,2.73,4.6,4.7,4.8,4.97,3.9,3.9,1.79,,1,"""A butterfly is a winged rainbow.""

a) A butterfly appears after rain.
b) A butterfly is ugly.
c) A butterfly is colorful.
d) A butterfly is an insect.
",[3 1 4 2],"

c) A butterfly is colorful."
11,Literary,1,146,2,Man is a box of nerves.,People can be anxious.,People can be perceptive.,Man is conscious.,People can be calm.,5.43,5.1,4.93,3.0,4.2,3.9,3.73,4.7,3.47,2.03,,1,"""Man is a box of nerves.""

a) People can be perceptive.
b) Man is conscious.
c) People can be anxious.
d) People can be calm.
",[3 2 4 1],"
c) People can be anxious."
12,Nonliterary,1,55,28,Tree trunks are pillars for a roof of leaves and branches.,Tree trunks provide support for leaves and branches.,Tree trunks provide nutrients for leaves and branches.,Tree trunks are leftover when trees are cut down.,Tree trunks are weak.,5.53,6.07,3.73,3.86,4.9,4.53,4.87,3.73,4.27,1.53,,1,"""Tree trunks are pillars for a roof of leaves and branches.""

a) Tree trunks provide support for leaves and branches.
b) Tree trunks are weak.
c) Tree trunks provide nutrients for leaves and branches.
d) Tree trunks are leftover when trees are cut down.
",[4 1 3 2],"

c) Tree trunks provide nutrients for leaves and branches."
13,Literary,1,110,0,Memories are the roots that clutch.,Memories are stabilizing.,Memories are long.,Memories are how the mind stores and remembers information.,Memories are nerve-wracking.,5.33,5.52,3.53,5.0,4.6,3.93,4.73,5.17,3.9,1.87,,1,"""Memories are the roots that clutch.""

a) Memories are long.
b) Memories are nerve-wracking.
c) Memories are how the mind stores and remembers information.
d) Memories are stabilizing.
",[3 1 2 4],"

b) Memories are long."
14,Nonliterary,1,131,0,A fireman is a boxer.,A fireman is strong and strategic when putting out fires.,A fireman has an audience when putting out fires.,A fireman is someone who extinguishes fires.,A fireman is weak and misguided when putting out fires.,3.67,3.83,2.27,2.63,2.83,3.21,2.83,2.03,1.93,1.21,,1,"""A fireman is a boxer.""

a) A fireman is weak and misguided when putting out fires.
b) A fireman is strong and strategic when putting out fires.
c) A fireman is someone who extinguishes fires.
d) A fireman has an audience when putting out fires.
",[1 4 2 3],"

a) A fireman is weak and misguided when putting out fires."
15,Nonliterary,1,153,0,Perfume is a magic spell.,Perfume can be powerful.,Perfume can be surprising.,Perfume is a fragrant odor.,Perfume can be off-putting.,5.3,5.2,2.77,3.37,3.63,4.17,3.23,3.17,3.77,1.63,,1,"""Perfume is a magic spell.""

a) Perfume can be powerful.
b) Perfume can be surprising.
c) Perfume can be off-putting.
d) Perfume is a fragrant odor.
",[4 3 1 2],"

d) Perfume is a fragrant odor."
16,Nonliterary,1,123,0,A rumor is a plague.,A rumor spreads through people.,A rumor can kill people.,A rumour is a story.,A rumor is uninteresting.,5.0,6.13,3.2,4.63,4.2,4.72,5.23,4.62,4.73,2.11,,1,"""A rumor is a plague.""

a) A rumor is uninteresting.
b) A rumor spreads through people.
c) A rumour is a story.
d) A rumor can kill people.
",[1 4 2 3],"

c) A rumor is a story."
17,Nonliterary,1,219,27,Time is the skin of an onion.,Time is layered.,Time is visible.,Time is a dimension.,Time is simple.,3.41,3.37,2.4,3.27,1.83,2.53,3.43,2.27,2.3,1.17,,1,"""Time is the skin of an onion.""

a) Time is simple.
b) Time is visible.
c) Time is layered.
d) Time is a dimension.
",[1 3 4 2],"

b) Time is simple."
18,Nonliterary,1,214,13,Billboards are warts on the landscape.,Billboards are ugly.,Billboards grow from the land.,Billboards are advertisements.,Billboards are beautiful.,5.37,4.77,3.13,3.77,4.07,3.83,4.47,3.37,3.53,1.66,,1,"""Billboards are warts on the landscape.""

a) Billboards are advertisements.
b) Billboards are beautiful.
c) Billboards grow from the land.
d) Billboards are ugly.
",[2 1 3 4],"
c) Billboards grow from the land."
19,Nonliterary,1,14,22,Sleep is a snowstorm.,Sleep is quiet but heavy.,Sleep is deep and calm.,Sleep is a physiological state.,Sleep is loud and light.,4.2,4.42,2.44,2.24,2.83,3.72,3.27,3.1,2.59,1.35,,1,"""Sleep is a snowstorm.""

a) Sleep is deep and calm.
b) Sleep is a physiological state.
c) Sleep is quiet but heavy.
d) Sleep is loud and light.
",[3 2 4 1],"

b) Sleep is a physiological state."
20,Nonliterary,1,99,0,An accordian is a musical file-folder.,An accordian is has a lot of folds in it.,An accordian is rectangular.,An accordian is a musical instrument.,An accordian is smooth.,5.63,5.7,2.97,3.77,4.93,4.63,5.17,3.7,4.6,1.32,,1,"""An accordian is a musical file-folder.""

a) An accordian is has a lot of folds in it.
b) An accordian is rectangular.
c) An accordian is smooth.
d) An accordian is a musical instrument.
",[4 3 1 2],"

c) An accordian is smooth."
21,Nonliterary,1,20,0,Darkness is a gloved hand.,Darkness can conceal things.,Darkness is warm.,Darkness is space without light.,Darkness is exciting.,5.2,5.0,2.81,4.32,4.03,3.9,4.46,4.31,3.67,1.65,,1,"""Darkness is a gloved hand.""

a) Darkness is warm.
b) Darkness is exciting.
c) Darkness is space without light.
d) Darkness can conceal things.
",[3 1 2 4],"

d) Darkness can conceal things."
22,Nonliterary,1,115,0,Children are sponges.,Children learn quickly.,Children are small.,Children are young people.,Children learn slowly.,4.3,5.27,2.77,3.5,3.37,3.41,3.73,3.76,2.83,1.86,,1,"""Children are sponges.""

a) Children learn quickly.
b) Children are small.
c) Children are young people.
d) Children learn slowly.
",[4 3 2 1],"

c) Children learn slowly."
23,Nonliterary,1,253,8,A white rabbit's fur in winter is a soldier's army-green uniform in a jungle.,A white rabbit's fur in winter is good camoflauge.,A white rabbit's fur in winter is naturally warm and cozy.,A white rabbit's fur in winter is the outermost part of the animal.,A white rabbit's fur in winter is easy to see.,5.93,5.87,3.43,4.9,5.14,4.97,4.93,3.32,4.6,1.85,,1,"""A white rabbit's fur in winter is a soldier's army-green uniform in a jungle.""

a) A white rabbit's fur in winter is naturally warm and cozy.
b) A white rabbit's fur in winter is good camoflauge.
c) A white rabbit's fur in winter is easy to see.
d) A white rabbit's fur in winter is the outermost part of the animal.
",[3 4 1 2],"

c) A white rabbit's fur in winter is easy to see."
24,Nonliterary,1,232,0,The palm tree is nature's fan.,The palm tree can be used to cool off.,The palm tree moves air around.,The palm tree is an evergreen.,The palm tree can be used to warm up.,6.0,6.0,3.47,4.47,4.73,5.0,5.33,3.3,4.5,1.86,,1,"""The palm tree is nature's fan.""

a) The palm tree moves air around.
b) The palm tree can be used to cool off.
c) The palm tree can be used to warm up.
d) The palm tree is an evergreen.
",[3 4 1 2],"

b) The palm tree can be used to cool off."
25,Nonliterary,1,10,0,Creativity is a toaster.,Creativity enhances things.,Creativity is fast.,Creativity is creating new things.,Creativity is predictable.,2.48,2.96,2.35,2.36,1.93,2.03,2.88,1.52,2.11,1.19,,1,"""Creativity is a toaster.""

a) Creativity enhances things.
b) Creativity is creating new things.
c) Creativity is fast.
d) Creativity is predictable.
",[4 2 3 1],"

b) Creativity is creating new things."
26,Nonliterary,1,243,0,The Rocky mountains are the spine of North America.,The Rocky mountains span the height of North America.,The Rocky mountains support North America.,The Rocky mountains are a tall mountain range.,The Rocky mountains are soft.,6.18,6.0,3.23,4.63,4.93,5.23,5.55,4.45,4.6,1.83,,1,"""The Rocky mountains are the spine of North America.""

a) The Rocky mountains span the height of North America.
b) The Rocky mountains are a tall mountain range.
c) The Rocky mountains are soft.
d) The Rocky mountains support North America.
",[4 2 1 3],"

The Rocky mountains span the height of North America."
27,Nonliterary,1,53,0,A child's mind is an apple core.,A child's mind is the foundation for an adult's mind.,A child's mind is growing.,A child's mind is a young mind.,A child's mind is trivial.,3.1,3.38,2.47,2.57,2.27,2.73,2.73,1.63,2.0,1.17,,1,"""A child's mind is an apple core.""

a) A child's mind is growing.
b) A child's mind is a young mind.
c) A child's mind is trivial.
d) A child's mind is the foundation for an adult's mind.
",[3 2 1 4],"

d) A child's mind is the foundation for an adult's mind."
28,Nonliterary,1,209,0,A smile is an ambassador.,A smile helps to make a good impression.,A smile is a person.,A smile is a facial expression.,A smile helps to make a bad impression.,5.07,4.37,2.57,3.77,3.4,4.43,2.73,3.43,3.5,1.43,,1,"""A smile is an ambassador.""

a) A smile is a person.
b) A smile helps to make a good impression.
c) A smile helps to make a bad impression.
d) A smile is a facial expression.
",[3 4 1 2],"

d) A smile is a facial expression."
29,Literary,1,126,0,The brain is the prisoner of thought.,The brain can only think certain thoughts.,The brain can only think about prison.,The brain is an organ in the skull.,The brain can think any thoughts.,5.4,5.23,4.17,4.3,4.53,4.8,3.73,5.03,4.4,1.9,,1,"""The brain is the prisoner of thought.""

a) The brain is an organ in the skull.
b) The brain can think any thoughts.
c) The brain can only think certain thoughts.
d) The brain can only think about prison.
",[2 1 4 3],"

d) The brain can only think about prison."
30,Nonliterary,1,154,0,Danger is a spice.,Danger creates variety.,Danger tastes good.,Danger is when there is a possibility of suffering harm or injury. ,Danger is boring.,4.63,4.87,2.87,3.57,3.53,3.73,3.73,3.43,3.53,1.83,,1,"""Danger is a spice.""

a) Danger tastes good.
b) Danger is boring.
c) Danger creates variety.
d) Danger is when there is a possibility of suffering harm or injury. 
",[3 1 4 2],"

d) Danger is when there is a possibility of suffering harm or injury."
31,Nonliterary,1,188,29,Truth is a firefly.,Truth is illuminating.,Truth is powerful.,Truth is a virtue.,Truth is confusing.,4.0,3.9,2.83,3.07,3.23,2.63,3.4,2.47,3.4,1.66,,1,"""Truth is a firefly.""

a) Truth is a virtue.
b) Truth is confusing.
c) Truth is illuminating.
d) Truth is powerful.
",[2 1 4 3],"

d) Truth is powerful."
32,Nonliterary,1,193,0,Lust is anarchy.,Lust lacks discipline and will lead to chaos.,Lust lacks happiness and will lead to despair.,Lust is a strong sexual desire.,Lust lacks happiness and is orderly.,3.57,3.1,3.1,3.07,2.47,2.7,2.83,2.5,2.67,1.24,,1,"""Lust is anarchy.""

a) Lust lacks happiness and will lead to despair.
b) Lust is a strong sexual desire.
c) Lust lacks happiness and is orderly.
d) Lust lacks discipline and will lead to chaos.
",[3 2 1 4],"

b) Lust is a strong sexual desire."
33,Nonliterary,1,254,12,Bargain hunters are prospectors for gold.,Bargain hunters search for good deals.,Bargain hunters look for treasure.,Bargain hunters are people looking to save money.,Bargain hunters move in groups.,5.34,5.73,3.13,3.87,4.07,4.48,4.45,3.36,3.93,1.59,,1,"""Bargain hunters are prospectors for gold.""

a) Bargain hunters look for treasure.
b) Bargain hunters move in groups.
c) Bargain hunters are people looking to save money.
d) Bargain hunters search for good deals.
",[3 1 2 4],"

b) Bargain hunters move in groups."
34,Nonliterary,1,172,0,Wounds are fjords.,Wounds are extremely deep.,Wounds are beautiful.,Wounds are injuries.,Wounds are superficial.,4.6,4.7,2.93,3.48,3.77,3.57,3.77,2.23,3.21,1.21,,1,"""Wounds are fjords.""

a) Wounds are extremely deep.
b) Wounds are beautiful.
c) Wounds are superficial.
d) Wounds are injuries.
",[4 3 1 2],"

b) Wounds are beautiful."
35,Nonliterary,1,21,5,A sailboat is a cat.,A sailboat can move nimbly.,A sailboat is small.,A sailboat is a sea vessel.,A sailboat moves where the wind goes.,2.6,2.96,2.08,2.0,1.93,2.17,2.31,1.62,1.85,1.35,,1,"""A sailboat is a cat.""

a) A sailboat is a sea vessel.
b) A sailboat is small.
c) A sailboat moves where the wind goes.
d) A sailboat can move nimbly.
",[2 3 1 4],"

a) A sailboat is a sea vessel."
36,Nonliterary,1,67,11,Artists are gods.,Artists are creators.,Artists know everything.,Artists are creative people.,Artists are show-offs.,3.9,3.73,2.5,2.53,2.27,2.47,2.4,2.53,2.17,1.07,,1,"""Artists are gods.""

a) Artists are creators.
b) Artists are show-offs.
c) Artists are creative people.
d) Artists know everything.
",[4 1 2 3],"

d) Artists know everything."
37,Nonliterary,1,62,18,School teachers are granite.,School teachers are strong.,School teachers are detailed.,School teachers teach classes to students.,School teachers are boring.,4.43,4.63,2.97,3.73,3.53,3.53,3.9,2.63,2.9,1.72,"Note: changed from ""old schoolteachers""",1,"""School teachers are granite.""

a) School teachers are strong.
b) School teachers are boring.
c) School teachers are detailed.
d) School teachers teach classes to students.
",[4 1 3 2],"

b) School teachers are boring."
38,Nonliterary,1,77,0,Courtesy is a sweet note in the noise of the city.,Courtesy is a nice gesture.,Courtesy is a quiet gesture.,Courtesy is an expression of kindness.,Courtesy is a mean gesture.,6.0,6.41,3.53,5.6,4.47,5.1,5.17,4.83,5.14,1.66,,1,"""Courtesy is a sweet note in the noise of the city.""

a) Courtesy is a mean gesture.
b) Courtesy is a nice gesture.
c) Courtesy is an expression of kindness.
d) Courtesy is a quiet gesture.
",[1 4 2 3],"

Courtesy is a nice gesture."
39,Nonliterary,1,30,0,A busybody is a patch of crabgrass.,A busybody is a nuassiance.,A busybody is green.,A busybody is someone who can't stop moving.,A busybody is a help.,4.38,4.54,2.77,3.84,2.93,3.45,3.69,2.96,3.37,1.55,,1,"""A busybody is a patch of crabgrass.""

a) A busybody is a help.
b) A busybody is a nuassiance.
c) A busybody is someone who can't stop moving.
d) A busybody is green.
",[1 4 2 3],"

a) A busybody is a help."
40,Nonliterary,1,129,0,Anarchy is a watering can for destruction.,Anarchy leads to destruction.,Destruction leads to anarchy.,Anarchy is a lack of government.,Anarchy prevents destruction.,3.66,4.2,3.0,3.83,2.4,2.52,3.63,2.55,3.4,1.5,,1,"""Anarchy is a watering can for destruction.""

a) Anarchy leads to destruction.
b) Destruction leads to anarchy.
c) Anarchy prevents destruction.
d) Anarchy is a lack of government.
",[4 3 1 2],"

d) Anarchy is a lack of government."
41,Nonliterary,1,11,25,The wind is a rocking chair.,The wind goes back and forth.,The wind goes up and down.,The wind is air blowing quickly.,The wind stays still.,4.16,4.54,2.69,3.4,3.31,3.66,4.12,2.62,2.59,1.42,,1,"""The wind is a rocking chair.""

a) The wind is air blowing quickly.
b) The wind goes up and down.
c) The wind stays still.
d) The wind goes back and forth.
",[2 3 1 4],"

b) The wind goes up and down."
42,Nonliterary,1,17,0,A tree stump is a dead soldier.,A tree stump is the remains of a tree that was once alive.,A tree stump can mark a grave.,A tree stump is a dead tree.,A tree stump is currently alive.,4.58,4.25,2.54,4.2,3.21,3.82,3.46,2.93,2.96,1.85,,1,"""A tree stump is a dead soldier.""

a) A tree stump is a dead tree.
b) A tree stump is the remains of a tree that was once alive.
c) A tree stump is currently alive.
d) A tree stump can mark a grave.
",[2 4 1 3],"

b) A tree stump is the remains of a tree that was once alive."
43,Nonliterary,1,242,0,Television is the aspirin for boredom.,Television relieves boredom.,Television prevents boredom.,Television is entertainment.,Television causes boredom.,5.9,5.77,3.83,4.5,4.38,4.27,4.76,4.07,3.8,1.62,,1,"""Television is the aspirin for boredom.""

a) Television prevents boredom.
b) Television causes boredom.
c) Television relieves boredom.
d) Television is entertainment.
",[3 1 4 2],"

c) Television relieves boredom."
44,Nonliterary,1,204,0,Detectives are ferrets.,Detectives go anywhere they can.,Detectives are hairy.,Detectives are people who investigate and solve crimes.,Detectives are loving.,4.0,3.97,3.27,3.5,3.33,3.5,3.37,2.7,3.3,1.38,,1,"""Detectives are ferrets.""

a) Detectives are people who investigate and solve crimes.
b) Detectives are hairy.
c) Detectives are loving.
d) Detectives go anywhere they can.
",[2 3 1 4],"

d) Detectives go anywhere they can."
45,Nonliterary,1,160,0,Official reports are skeletons of the truth.,Official reports don't tell the whole story.,Official reports are versions of the truth.,Official reports are documents produced by officials.,Official reports are lies.,5.3,5.2,4.07,3.97,4.59,4.27,4.27,3.63,4.3,1.8,,1,"""Official reports are skeletons of the truth.""

a) Official reports don't tell the whole story.
b) Official reports are documents produced by officials.
c) Official reports are lies.
d) Official reports are versions of the truth.
",[4 2 1 3],"

c) Official reports are lies."
46,Nonliterary,1,124,0,A dilemma is a cactus.,A dilemma is complicated and potentially painful.,A dilemma is small and potentially bloody.,A dilemma is a difficult situation.,A dilemma is simple and safe.,3.97,4.4,2.2,3.97,3.17,3.66,3.97,2.41,3.47,1.39,,1,"""A dilemma is a cactus.""

a) A dilemma is small and potentially bloody.
b) A dilemma is complicated and potentially painful.
c) A dilemma is simple and safe.
d) A dilemma is a difficult situation.
",[3 4 1 2],"
c) A dilemma is simple and safe."
47,Nonliterary,1,4,0,The bird is nature's airplane.,Birds can fly naturally.,Birds have pilots.,The bird is an animal.,Birds aren't real.,6.84,6.71,3.38,5.4,5.9,5.52,5.96,5.31,5.22,1.92,,1,"""The bird is nature's airplane.""

a) The bird is an animal.
b) Birds aren't real.
c) Birds can fly naturally.
d) Birds have pilots.
",[2 1 4 3],"

The answer is c) Birds can fly naturally."
48,Nonliterary,1,107,5,A sailboat is a leaf.,A sailboat moves where the wind goes.,A sailboat is flat.,A sailboat is a sea vessel.,A sailboat can move tactically.,5.23,5.2,2.73,3.4,3.83,3.83,4.43,2.7,3.27,1.64,,1,"""A sailboat is a leaf.""

a) A sailboat is flat.
b) A sailboat can move tactically.
c) A sailboat moves where the wind goes.
d) A sailboat is a sea vessel.
",[3 1 4 2],"

b) A sailboat can move tactically."
49,Literary,1,6,8,Clouds are worlds of wool.,Clouds are intricate.,Clouds look soft.,Clouds are a visible mass of condensed water floating in the atmosphere.,Clouds are simple.,5.77,6.03,3.38,4.53,5.6,4.97,5.13,4.9,3.7,1.83,,1,"""Clouds are worlds of wool.""

a) Clouds are a visible mass of condensed water floating in the atmosphere.
b) Clouds are simple.
c) Clouds are intricate.
d) Clouds look soft.
",[2 1 4 3],"

c) Clouds are intricate."
50,Nonliterary,1,205,0,Loud voices are bellows.,Loud voices often encourage controversy.,Loud voices often explain controvery.,Loud voices are above normal speaking volume.,Loud voices often discourage controversy.,5.27,5.8,4.53,3.73,4.13,4.5,4.57,4.07,4.17,1.9,,1,"""Loud voices are bellows.""

a) Loud voices often explain controvery.
b) Loud voices often discourage controversy.
c) Loud voices are above normal speaking volume.
d) Loud voices often encourage controversy.
",[3 1 2 4],"

c) Loud voices are above normal speaking volume."
51,Nonliterary,1,256,6,A trailer-home is the shell of a wandering turtle.,A trailer-home is always close by.,A trailer-home is protection.,A trailer-home is a portable home.,A trailer-home is a way to take more stuff on trips.,5.86,5.7,3.03,3.97,4.21,4.24,4.48,2.68,4.03,1.62,,1,"""A trailer-home is the shell of a wandering turtle.""

a) A trailer-home is always close by.
b) A trailer-home is a portable home.
c) A trailer-home is a way to take more stuff on trips.
d) A trailer-home is protection.
",[4 2 1 3],"

a) A trailer-home is always close by."
52,Nonliterary,1,34,0,A well trained fighter is a knight in armor.,A well trained fighter has extra protection.,A well trained fighter is fast.,A well trained fighter is good at fighting.,A well trained fighter is more vulnerable.,5.53,5.93,3.87,4.07,5.0,4.7,4.6,3.53,4.87,1.77,,1,"""A well trained fighter is a knight in armor.""

a) A well trained fighter is more vulnerable.
b) A well trained fighter has extra protection.
c) A well trained fighter is fast.
d) A well trained fighter is good at fighting.
",[1 4 3 2],"

b) A well trained fighter has extra protection."
53,Nonliterary,1,208,0,Memories are mists across lawns.,Memories are fleeting.,Memories are replayed across lawns.,Memories are recollections of the past.,Memories are permanent.,4.67,4.9,2.72,4.2,4.1,4.4,4.8,2.87,3.6,1.46,,1,"""Memories are mists across lawns.""

a) Memories are fleeting.
b) Memories are permanent.
c) Memories are recollections of the past.
d) Memories are replayed across lawns.
",[4 1 2 3],"

d) Memories are replayed across lawns."
54,Nonliterary,1,175,0,Divorce is the earthquake of the family.,Divorce is surprising and disruptive for families.,Divorce is a major negative event for families.,Divorce is when a married couple ends their relationship.,Divorce is predictable and easy for families.,6.0,6.3,3.6,4.9,5.73,5.13,5.27,4.4,5.0,2.03,,1,"""Divorce is the earthquake of the family.""

a) Divorce is a major negative event for families.
b) Divorce is when a married couple ends their relationship.
c) Divorce is surprising and disruptive for families.
d) Divorce is predictable and easy for families.
",[3 2 4 1],"

d) Divorce is predictable and easy for families."
55,Nonliterary,1,258,4,A match in a forest is the case of flu in a large family.,A match in a forest can start a large fire.,A match in a forest is small.,A match in a forest is a flamible piece of wood.,A match in a forest is inconsequential.,5.97,5.87,3.9,4.87,5.1,5.1,5.1,3.64,4.77,1.74,,1,"""A match in a forest is the case of flu in a large family.""

a) A match in a forest is small.
b) A match in a forest is inconsequential.
c) A match in a forest can start a large fire.
d) A match in a forest is a flamible piece of wood.
",[3 1 4 2],"
c) A match in a forest can start a large fire."
56,Literary,1,182,0,The wailing of shells is a choir for dead soldiers.,The sound of shells memorializes soldiers who have died.,The sound of shells overshadows soldiers who have died.,The sound of shells is the sound of artillery exploding.,The sound of shells trivializes soldiers who have died.,5.27,3.7,3.23,4.33,4.37,4.1,4.2,4.1,3.87,1.67,,1,"""The wailing of shells is a choir for dead soldiers.""

a) The sound of shells overshadows soldiers who have died.
b) The sound of shells trivializes soldiers who have died.
c) The sound of shells memorializes soldiers who have died.
d) The sound of shells is the sound of artillery exploding.
",[3 1 4 2],"

c) The sound of shells memorializes soldiers who have died."
57,Nonliterary,1,181,0,The look of hate is a laser beam.,The look of hate is powerful.,The look of hate is hot.,The look of hate is an expression of negative emotion.,The look of hate is weak.,5.4,5.63,2.6,4.27,5.17,4.13,5.2,3.87,4.77,1.86,,1,"""The look of hate is a laser beam.""

a) The look of hate is hot.
b) The look of hate is powerful.
c) The look of hate is an expression of negative emotion.
d) The look of hate is weak.
",[3 4 2 1],"
c) The look of hate is powerful."
58,Nonliterary,1,165,0,Oil is liquid gold.,Oil is extremely valuable.,Oil is liquid and metallic.,Oil is refined into gas.,Oil is cheap.,6.4,6.7,4.37,5.67,5.7,5.77,5.3,5.8,5.93,2.1,,1,"""Oil is liquid gold.""

a) Oil is cheap.
b) Oil is liquid and metallic.
c) Oil is extremely valuable.
d) Oil is refined into gas.
",[1 3 4 2],"

c) Oil is extremely valuable."
59,Nonliterary,1,233,0,The desert is an oven.,The desert is hot.,The desert is square.,The desert is a barren area of land.,The desert is cold.,6.41,6.47,3.9,4.9,6.1,5.67,5.23,5.37,5.13,2.1,,1,"""The desert is an oven.""

a) The desert is square.
b) The desert is cold.
c) The desert is a barren area of land.
d) The desert is hot.
",[3 1 2 4],"

The desert is square."
60,Nonliterary,1,59,4,A match in a forest is a potato chip in a potato field.,A match in a forest is small.,A match in a forest can start a large fire.,A match in a forest is a small piece of flammable wood.,A match in a forest is large.,3.67,3.2,2.73,2.27,2.57,3.2,3.03,2.53,2.76,1.1,,1,"""A match in a forest is a potato chip in a potato field.""

a) A match in a forest is large.
b) A match in a forest is small.
c) A match in a forest is a small piece of flammable wood.
d) A match in a forest can start a large fire.
",[1 4 2 3],"

a) A match in a forest is large."
61,Nonliterary,1,156,0,A mining town is a large tavern.,People who live in mining towns drink a lot of alcohol.,People who live in mining towns are friendly.,A mining town is a town where most people work at a mine.,People who live in mining towns never drink alcohol.,4.77,4.97,3.53,3.33,4.47,4.03,3.93,3.0,3.5,1.43,,1,"""A mining town is a large tavern.""

a) People who live in mining towns never drink alcohol.
b) People who live in mining towns are friendly.
c) People who live in mining towns drink a lot of alcohol.
d) A mining town is a town where most people work at a mine.
",[1 3 4 2],"

c) People who live in mining towns drink a lot of alcohol."
