Type,Include,ID,Group,Statement,Good (4),Less good (3),Semantic (2) - category/desription,Bad (1),CMP,ESI,MET,MGD,IMG,IMS,IMP,FAM,SRL,ALT,NOTE,Nominal,prompt,values
Nonliterary,1,191,0,Age is an altar of memories.,Older people have more memories.,People acquire memories as they get older.,Age is the number of years something has been alive.,People start to lose their memory as they age.,5.13,5.13,3.73,4.33,4.33,3.83,4.43,3.8,4.67,1.79,,1,"""Age is an altar of memories.""

a) Older people have more memories.
b) Age is the number of years something has been alive.
c) People start to lose their memory as they age.
d) People acquire memories as they get older.
",[4 2 1 3]
Nonliterary,1,149,0,Genes are blueprints.,Genes are instructions.,Genes are paper.,Genes are the basic physical unit of heredity.,Genes are distracting.,6.73,6.63,4.93,5.83,5.6,5.23,5.0,5.93,5.77,1.93,,1,"""Genes are blueprints.""

a) Genes are the basic physical unit of heredity.
b) Genes are paper.
c) Genes are distracting.
d) Genes are instructions.
",[2 3 1 4]
Nonliterary,1,96,16,History is an alarm clock.,History is motivation.,History is why some people get out of bed in the morning.,History is a story of the past.,History is lazy.,3.7,3.57,2.37,2.7,2.13,3.03,2.7,2.1,2.23,1.21,,1,"""History is an alarm clock.""

a) History is lazy.
b) History is why some people get out of bed in the morning.
c) History is a story of the past.
d) History is motivation.
",[1 3 2 4]
Nonliterary,1,27,0,A bagpipe is a newborn baby.,A bagpipe is loud.,A bagpipe is delicate.,A bagpipe is a musical instrument.,A bagpipe is quiet.,4.25,3.88,2.19,2.44,2.21,2.72,2.96,1.82,1.7,1.31,,1,"""A bagpipe is a newborn baby.""

a) A bagpipe is loud.
b) A bagpipe is quiet.
c) A bagpipe is a musical instrument.
d) A bagpipe is delicate.
",[4 1 2 3]
Literary,1,165,2,Mankind is a prisoner of wishes.,People don't have control over what they want.,People never want to do anything.,Mankind is conscious.,People have control over what they want.,5.8,5.1,4.43,4.47,4.1,3.57,4.0,5.13,3.9,1.9,,1,"""Mankind is a prisoner of wishes.""

a) People have control over what they want.
b) Mankind is conscious.
c) People don't have control over what they want.
d) People never want to do anything.
",[1 2 4 3]
Nonliterary,1,61,19,Power is penicillin.,Power can resolve problems.,Power can be injected.,Power is being able to take control.,Power can cause problems.,4.33,4.13,3.03,2.97,2.4,3.23,2.53,2.97,2.55,1.38,,1,"""Power is penicillin.""

a) Power can resolve problems.
b) Power can cause problems.
c) Power is being able to take control.
d) Power can be injected.
",[4 1 2 3]
Literary,1,116,2,Man is the wandering outlaw of his own dark mind.,People can't help themselves from wanting to do bad things sometimes.,People do bad things sometimes.,Man is conscious.,People can't help themselves from wanting to do good things sometimes.,5.17,4.87,3.2,4.5,4.0,3.8,3.7,4.67,3.93,1.53,,1,"""Man is the wandering outlaw of his own dark mind.""

a) People can't help themselves from wanting to do good things sometimes.
b) People do bad things sometimes.
c) People can't help themselves from wanting to do bad things sometimes.
d) Man is conscious.
",[1 3 4 2]
Nonliterary,1,112,0,A mosquito is an arrow.,A mosquito flies through the air and into people.,A mosquito can move fast.,A mosquito is an insect.,A mosquito only moves sometimes.,5.03,5.2,2.57,3.67,3.93,3.68,4.0,2.86,3.4,1.71,,1,"""A mosquito is an arrow.""

a) A mosquito is an insect.
b) A mosquito can move fast.
c) A mosquito only moves sometimes.
d) A mosquito flies through the air and into people.
",[2 3 1 4]
Nonliterary,1,38,13,Billboards are the yellow pages of the highway.,Billboards provide information about companies.,Billboards are ugly.,Billboards are advertisements.,Billboards lack information.,6.2,6.0,4.03,5.37,4.6,5.0,4.97,3.1,5.07,1.93,,1,"""Billboards are the yellow pages of the highway.""

a) Billboards are ugly.
b) Billboards lack information.
c) Billboards provide information about companies.
d) Billboards are advertisements.
",[3 1 4 2]
Literary,1,42,0,Silence is a black cavern.,Silence is mysterious.,It is quiet underground.,Silence is the absense of sound.,Silence is familiar.,5.93,5.8,3.57,4.77,5.47,4.47,4.77,4.97,4.87,2.1,,1,"""Silence is a black cavern.""

a) Silence is mysterious.
b) It is quiet underground.
c) Silence is familiar.
d) Silence is the absense of sound.
",[4 3 1 2]
Literary,1,17,2,Man is a worm that lives on the carcass of the earth.,A person's life is small and irrelevant.,People can wriggle around on the ground.,Man is conscious.,A person's life is important and impactful.,5.77,5.53,3.5,3.8,4.37,4.0,4.03,4.7,3.17,1.9,,1,"""Man is a worm that lives on the carcass of the earth.""

a) A person's life is small and irrelevant.
b) People can wriggle around on the ground.
c) Man is conscious.
d) A person's life is important and impactful.
",[4 3 2 1]
Nonliterary,1,230,0,Craters are the moon's dimples.,Craters give character to the moon's surface.,Craters give texture to the moon's surface.,Craters are indentions in the moon.,Craters are invisible.,6.34,6.2,3.1,4.47,5.8,5.1,5.63,3.8,4.67,1.52,,1,"""Craters are the moon's dimples.""

a) Craters are invisible.
b) Craters give character to the moon's surface.
c) Craters give texture to the moon's surface.
d) Craters are indentions in the moon.
",[1 4 3 2]
Nonliterary,1,194,0,Silence is an apron.,Silence prevents risk.,Silence is made of cloth.,Silence is the complete absence of sound.,Silence causes risk.,3.27,3.67,2.47,2.33,2.03,2.73,3.13,2.33,2.47,1.24,,1,"""Silence is an apron.""

a) Silence is made of cloth.
b) Silence prevents risk.
c) Silence is the complete absence of sound.
d) Silence causes risk.
",[3 4 2 1]
Nonliterary,1,23,16,History is a sponge.,History absorbs people and stories.,History is a record.,History is a story.,We see ourselves in history.,4.08,4.58,3.31,3.4,2.48,2.66,3.12,2.76,3.0,1.46,,1,"""History is a sponge.""

a) History absorbs people and stories.
b) History is a record.
c) History is a story.
d) We see ourselves in history.
",[4 3 2 1]
Nonliterary,1,247,0,Terrorists are hawks among the fowl.,Terrorists are people who seek to use violence among people who don't wish to use violence.,Terrorists are people who seek to use violence among people who also wish to use violence.,Terrorists are people who use violenece and intimidation.,Terrorists are people who seek to prevent violence among people who wish to use violence.,5.93,5.93,3.4,4.8,5.07,4.7,5.38,3.41,5.07,1.79,,1,"""Terrorists are hawks among the fowl.""

a) Terrorists are people who seek to use violence among people who don't wish to use violence.
b) Terrorists are people who use violenece and intimidation.
c) Terrorists are people who seek to prevent violence among people who wish to use violence.
d) Terrorists are people who seek to use violence among people who also wish to use violence.
",[4 2 1 3]
Nonliterary,1,216,0,The sea captain is the quarterback of his ship.,The sea captain is in charge of his ship.,The sea captain plays football on his ship.,The sea captain works on a ship.,The sea captain is asleep on his ship.,6.53,6.33,3.93,4.4,5.43,5.43,5.0,4.53,5.03,1.83,,1,"""The sea captain is the quarterback of his ship.""

a) The sea captain works on a ship.
b) The sea captain is in charge of his ship.
c) The sea captain plays football on his ship.
d) The sea captain is asleep on his ship.
",[2 4 3 1]
Nonliterary,1,251,26,Thunderclouds are draperies pulled across the sun.,Thunderclouds cover the sun.,Thunderclouds are made of cloth.,Thunderclouds are rainclouds.,Thunderclouds amplify the sun.,5.9,6.2,2.93,4.47,4.83,4.79,5.48,3.64,4.67,1.81,,1,"""Thunderclouds are draperies pulled across the sun.""

a) Thunderclouds are made of cloth.
b) Thunderclouds cover the sun.
c) Thunderclouds are rainclouds.
d) Thunderclouds amplify the sun.
",[3 4 2 1]
Nonliterary,1,184,0,The spy satellite is the shepherd of our nation's security.,The spy satellite helps monitor our nation's security.,The spy satellite helps herd our nation's security.,The spy satelite is a satelite that orbits the earth from space.,The spy satellite helps destroy our nation's security.,4.6,4.63,3.47,3.33,3.53,3.1,2.8,1.73,3.23,1.17,,1,"""The spy satellite is the shepherd of our nation's security.""

a) The spy satellite helps destroy our nation's security.
b) The spy satellite helps herd our nation's security.
c) The spy satelite is a satelite that orbits the earth from space.
d) The spy satellite helps monitor our nation's security.
",[1 3 2 4]
Nonliterary,1,7,0,A desert is a sea.,A desert is vast.,A desert is flat.,A desert is a hot and dry area of land.,A desert is small.,5.32,4.71,2.4,3.68,4.07,4.38,3.73,4.41,3.26,1.81,,1,"""A desert is a sea.""

a) A desert is vast.
b) A desert is flat.
c) A desert is a hot and dry area of land.
d) A desert is small.
",[4 3 2 1]
Nonliterary,1,236,17,Nature is a vast laboratory.,Nature is an unpredictable place.,Nature is a large place.,Nature is all phenomena of the physical world.,Nature is a controlled place.,5.34,5.2,3.67,4.52,4.7,4.77,4.7,3.87,4.7,1.97,,1,"""Nature is a vast laboratory.""

a) Nature is all phenomena of the physical world.
b) Nature is a large place.
c) Nature is an unpredictable place.
d) Nature is a controlled place.
",[2 3 4 1]
