,statement,true_answer,distractor_1,distractor_2,distractor_3,prompt,index
3,A busybody is a nuassiance.,A busybody is a patch of crabgrass.,A busybody is a cork.,A busybody is an arrow.,A busybody is a precious gem.,"""A busybody is a nuassiance.""

a) A busybody is a precious gem.
b) A busybody is an arrow.
c) A busybody is a cork.
d) A busybody is a patch of crabgrass.
",4
125,People change as they age.,Growing up is the funeral of youth.,Growing up is a lighthouse.,Growing up is a shroud.,Growing up is a ready-made suit of long underwear.,"""People change as they age.""

a) Growing up is the funeral of youth.
b) Growing up is a lighthouse.
c) Growing up is a ready-made suit of long underwear.
d) Growing up is a shroud.
",1
242,The wind is strong and agile.,The wind is a wrestler.,The wind is a lottery.,The wind is the quarterback of his ship.,The wind is truth. ,"""The wind is strong and agile.""

a) The wind is the quarterback of his ship.
b) The wind is a wrestler.
c) The wind is truth. 
d) The wind is a lottery.
",2
29,A judge is even-handed.,A judge is a balance.,A judge is a precious gem.,A judge is a crutch.,A judge is the quarterback of his ship.,"""A judge is even-handed.""

a) A judge is the quarterback of his ship.
b) A judge is a precious gem.
c) A judge is a crutch.
d) A judge is a balance.
",4
269,Peas grow together inside a pod that nurtures them.,Peas in their pods are summer children in their mothers.,Peas in their pods are the bowels of the earth.,Peas in their pods are wasps.,Peas in their pods are scarecrows.,"""Peas grow together inside a pod that nurtures them.""

a) Peas in their pods are scarecrows.
b) Peas in their pods are summer children in their mothers.
c) Peas in their pods are wasps.
d) Peas in their pods are the bowels of the earth.
",2
230,Wounds are extremely deep.,Wounds are fjords.,Wounds are signposts. ,Wounds are lumberjacks with fur coats.,Wounds are the sailor's steed.,"""Wounds are extremely deep.""

a) Wounds are the sailor's steed.
b) Wounds are signposts. 
c) Wounds are fjords.
d) Wounds are lumberjacks with fur coats.
",3
104,Danger creates variety.,Danger is a spice.,Danger is an alarm clock.,Danger is a paradise to child.,Danger is a fire's calling card.,"""Danger creates variety.""

a) Danger is a fire's calling card.
b) Danger is a spice.
c) Danger is an alarm clock.
d) Danger is a paradise to child.
",2
103,Criticism is necessary and best heard from friends.,Criticism is the helpful medicine only friends can prescribe.,Criticism is a yo-yo.,Criticism is a play.,Criticism is an interior decorator.,"""Criticism is necessary and best heard from friends.""

a) Criticism is the helpful medicine only friends can prescribe.
b) Criticism is an interior decorator.
c) Criticism is a play.
d) Criticism is a yo-yo.
",1
109,Dictionaries have detailed information about words.,Dictionaries are microscopes of words.,Dictionaries are beads strung on one string.,Dictionaries are ferrets.,Dictionaries are draperies pulled across the sun.,"""Dictionaries have detailed information about words.""

a) Dictionaries are draperies pulled across the sun.
b) Dictionaries are beads strung on one string.
c) Dictionaries are microscopes of words.
d) Dictionaries are ferrets.
",3
192,The fall of an empire is the end of civilization.,The fall of an empire is the sunset of civilization.,The fall of an empire is a firefly.,The fall of an empire is a spice.,The fall of an empire is a cat.,"""The fall of an empire is the end of civilization.""

a) The fall of an empire is a cat.
b) The fall of an empire is a spice.
c) The fall of an empire is the sunset of civilization.
d) The fall of an empire is a firefly.
",3
203,The spy satellite helps monitor our nation's security.,The spy satellite is the shepherd of our nation's security.,The spy satellite is a leech.,"The spy satellite is a shattered mirror, reflecting life in pieces.",The spy satellite is the funeral song of the dying year.,"""The spy satellite helps monitor our nation's security.""

a) The spy satellite is the funeral song of the dying year.
b) The spy satellite is a leech.
c) The spy satellite is a shattered mirror, reflecting life in pieces.
d) The spy satellite is the shepherd of our nation's security.
",4
151,Oil is extremely valuable.,Oil is liquid gold.,Oil is a slumbering giant.,Oil is nature's mirror.,Oil is a buzzing beehive grove.,"""Oil is extremely valuable.""

a) Oil is nature's mirror.
b) Oil is liquid gold.
c) Oil is a buzzing beehive grove.
d) Oil is a slumbering giant.
",2
128,History attracts certain people.,History is a magnet.,History is a box of nerves.,History is a walking stick.,History is a blizzard.,"""History attracts certain people.""

a) History is a walking stick.
b) History is a box of nerves.
c) History is a blizzard.
d) History is a magnet.
",4
